country_code,reference_date_1_january_31_december,births_thousands,variant
24,2058,2034.345,Medium variant
24,2059,2047.629,Medium variant
24,2060,2060.414,Medium variant
24,2061,2072.713,Medium variant
24,2062,2084.553,Medium variant
24,2063,2095.951,Medium variant
24,2064,2106.915,Medium variant
24,2065,2117.445,Medium variant
24,2066,2127.54,Medium variant
24,2067,2137.188,Medium variant
24,2068,2146.382,Medium variant
24,2069,2155.119,Medium variant
24,2070,2163.397,Medium variant
24,2071,2171.217,Medium variant
24,2072,2178.582,Medium variant
24,2073,2185.488,Medium variant
24,2074,2191.932,Medium variant
24,2075,2197.897,Medium variant
24,2076,2203.359,Medium variant
24,2077,2208.317,Medium variant
24,2078,2212.779,Medium variant
24,2079,2216.77,Medium variant
24,2080,2220.335,Medium variant
24,2081,2223.531,Medium variant
24,2082,2226.397,Medium variant
24,2083,2228.948,Medium variant
24,2084,2231.18,Medium variant
24,2085,2233.06,Medium variant
24,2086,2234.537,Medium variant
24,2087,2235.55,Medium variant
24,2088,2236.053,Medium variant
24,2089,2236.029,Medium variant
24,2090,2235.481,Medium variant
24,2091,2234.43,Medium variant
24,2092,2232.899,Medium variant
24,2093,2230.916,Medium variant
24,2094,2228.504,Medium variant
24,2095,2225.678,Medium variant
24,2096,2222.443,Medium variant
24,2097,2218.806,Medium variant
24,2098,2214.768,Medium variant
24,2099,2210.33,Medium variant
28,1950,1.698,Estimates
28,1951,1.712,Estimates
28,1952,1.738,Estimates
28,1953,1.76,Estimates
28,1954,1.777,Estimates
28,1955,1.791,Estimates
28,1956,1.801,Estimates
28,1957,1.807,Estimates
28,1958,1.812,Estimates
28,1959,1.816,Estimates
28,1960,1.822,Estimates
28,1961,1.83,Estimates
28,1962,1.844,Estimates
28,1963,1.862,Estimates
28,1964,1.884,Estimates
28,1965,1.907,Estimates
28,1966,1.928,Estimates
28,1967,1.944,Estimates
28,1968,1.951,Estimates
28,1969,1.946,Estimates
28,1970,1.926,Estimates
28,1971,1.885,Estimates
28,1972,1.826,Estimates
28,1973,1.751,Estimates
28,1974,1.665,Estimates
28,1975,1.575,Estimates
28,1976,1.491,Estimates
28,1977,1.418,Estimates
28,1978,1.361,Estimates
28,1979,1.322,Estimates
28,1980,1.3,Estimates
28,1981,1.288,Estimates
28,1982,1.281,Estimates
28,1983,1.272,Estimates
28,1984,1.259,Estimates
28,1985,1.243,Estimates
28,1986,1.224,Estimates
28,1987,1.207,Estimates
28,1988,1.195,Estimates
28,1989,1.189,Estimates
28,1990,1.193,Estimates
28,1991,1.208,Estimates
28,1992,1.234,Estimates
28,1993,1.27,Estimates
28,1994,1.314,Estimates
28,1995,1.363,Estimates
28,1996,1.412,Estimates
28,1997,1.459,Estimates
28,1998,1.499,Estimates
28,1999,1.531,Estimates
28,2000,1.553,Estimates
28,2001,1.563,Estimates
28,2002,1.565,Estimates
28,2003,1.561,Estimates
28,2004,1.551,Estimates
28,2005,1.538,Estimates
28,2006,1.523,Estimates
28,2007,1.509,Estimates
28,2008,1.497,Estimates
28,2009,1.487,Estimates
28,2010,1.481,Estimates
28,2011,1.478,Estimates
28,2012,1.479,Estimates
28,2013,1.481,Estimates
28,2014,1.484,Estimates
28,2015,1.488,Estimates
28,2015,1.488,Medium variant
28,2016,1.493,Medium variant
28,2017,1.498,Medium variant
28,2018,1.503,Medium variant
28,2019,1.507,Medium variant
28,2020,1.509,Medium variant
28,2021,1.51,Medium variant
28,2022,1.51,Medium variant
28,2023,1.508,Medium variant
28,2024,1.504,Medium variant
28,2025,1.499,Medium variant
28,2026,1.492,Medium variant
28,2027,1.483,Medium variant
28,2028,1.474,Medium variant
28,2029,1.463,Medium variant
28,2030,1.453,Medium variant
28,2031,1.442,Medium variant
28,2032,1.431,Medium variant
28,2033,1.42,Medium variant
28,2034,1.41,Medium variant
28,2035,1.4,Medium variant
28,2036,1.391,Medium variant
28,2037,1.383,Medium variant
28,2038,1.376,Medium variant
28,2039,1.37,Medium variant
28,2040,1.364,Medium variant
28,2041,1.36,Medium variant
28,2042,1.356,Medium variant
28,2043,1.353,Medium variant
28,2044,1.35,Medium variant
28,2045,1.347,Medium variant
28,2046,1.345,Medium variant
28,2047,1.342,Medium variant
28,2048,1.34,Medium variant
28,2049,1.337,Medium variant
28,2050,1.335,Medium variant
28,2051,1.332,Medium variant
28,2052,1.328,Medium variant
28,2053,1.325,Medium variant
28,2054,1.32,Medium variant
28,2055,1.315,Medium variant
28,2056,1.31,Medium variant
28,2057,1.304,Medium variant
28,2058,1.297,Medium variant
28,2059,1.291,Medium variant
28,2060,1.284,Medium variant
28,2061,1.278,Medium variant
28,2062,1.271,Medium variant
28,2063,1.264,Medium variant
28,2064,1.258,Medium variant
28,2065,1.251,Medium variant
28,2066,1.245,Medium variant
28,2067,1.239,Medium variant
28,2068,1.234,Medium variant
28,2069,1.229,Medium variant
28,2070,1.224,Medium variant
28,2071,1.22,Medium variant
28,2072,1.216,Medium variant
28,2073,1.213,Medium variant
28,2074,1.209,Medium variant
28,2075,1.206,Medium variant
28,2076,1.203,Medium variant
28,2077,1.2,Medium variant
28,2078,1.197,Medium variant
28,2079,1.194,Medium variant
28,2080,1.191,Medium variant
28,2081,1.188,Medium variant
28,2082,1.185,Medium variant
28,2083,1.182,Medium variant
28,2084,1.179,Medium variant
28,2085,1.175,Medium variant
28,2086,1.172,Medium variant
28,2087,1.168,Medium variant
28,2088,1.163,Medium variant
28,2089,1.159,Medium variant
28,2090,1.155,Medium variant
28,2091,1.15,Medium variant
28,2092,1.145,Medium variant
28,2093,1.141,Medium variant
28,2094,1.136,Medium variant
28,2095,1.132,Medium variant
28,2096,1.128,Medium variant
28,2097,1.124,Medium variant
28,2098,1.12,Medium variant
28,2099,1.117,Medium variant
31,1950,121.627,Estimates
31,1951,123.115,Estimates
31,1952,126.358,Estimates
31,1953,130.132,Estimates
31,1954,134.439,Estimates
31,1955,139.256,Estimates
31,1956,144.507,Estimates
31,1957,150.084,Estimates
31,1958,155.781,Estimates
31,1959,161.243,Estimates
31,1960,166.059,Estimates
31,1961,169.812,Estimates
31,1962,172.11,Estimates
31,1963,172.732,Estimates
31,1964,171.698,Estimates
31,1965,169.191,Estimates
31,1966,165.566,Estimates
31,1967,161.418,Estimates
31,1968,157.299,Estimates
31,1969,153.562,Estimates
31,1970,150.477,Estimates
31,1971,148.168,Estimates
31,1972,146.536,Estimates
31,1973,145.507,Estimates
31,1974,145.124,Estimates
31,1975,145.408,Estimates
31,1976,146.337,Estimates
31,1977,147.834,Estimates
31,1978,149.826,Estimates
31,1979,152.275,Estimates
31,1980,155.24,Estimates
31,1981,158.817,Estimates
31,1982,162.993,Estimates
31,1983,167.655,Estimates
31,1984,172.616,Estimates
31,1985,177.747,Estimates
31,1986,182.94,Estimates
31,1987,187.948,Estimates
31,1988,192.42,Estimates
31,1989,195.97,Estimates
31,1990,197.914,Estimates
31,1991,197.548,Estimates
31,1992,194.707,Estimates
31,1993,189.546,Estimates
31,1994,182.431,Estimates
31,1995,173.97,Estimates
31,1996,164.952,Estimates
31,1997,156.354,Estimates
31,1998,149.073,Estimates
31,1999,143.732,Estimates
31,2000,140.981,Estimates
31,2001,141.228,Estimates
31,2002,144.129,Estimates
31,2003,149.163,Estimates
31,2004,155.907,Estimates
31,2005,163.788,Estimates
31,2006,172.156,Estimates
31,2007,180.302,Estimates
31,2008,187.563,Estimates
31,2009,193.435,Estimates
31,2010,197.513,Estimates
31,2011,199.629,Estimates
31,2012,200.057,Estimates
31,2013,199.084,Estimates
31,2014,196.821,Estimates
31,2015,193.366,Estimates
31,2015,193.366,Medium variant
31,2016,188.831,Medium variant
31,2017,183.458,Medium variant
31,2018,177.543,Medium variant
31,2019,171.377,Medium variant
31,2020,165.218,Medium variant
