country_code,year,female_deaths
32,2019,160.802
32,2020,162.47
32,2021,164.132
32,2022,165.79
32,2023,167.446
32,2024,169.106
32,2025,170.779
32,2026,172.471
32,2027,174.194
32,2028,175.961
32,2029,177.783
32,2030,179.675
32,2031,181.647
32,2032,183.701
32,2033,185.832
32,2034,188.038
32,2035,190.309
32,2036,192.635
32,2037,195.001
32,2038,197.395
32,2039,199.806
32,2040,202.229
32,2041,204.666
32,2042,207.118
32,2043,209.588
32,2044,212.07
32,2045,214.556
32,2046,217.039
32,2047,219.515
32,2048,221.983
32,2049,224.444
32,2050,226.899
32,2051,229.353
32,2052,231.813
32,2053,234.292
32,2054,236.802
32,2055,239.358
32,2056,241.974
32,2057,244.656
32,2058,247.405
32,2059,250.218
32,2060,253.097
32,2061,256.042
32,2062,259.035
32,2063,262.052
32,2064,265.067
32,2065,268.051
32,2066,270.98
32,2067,273.836
32,2068,276.595
32,2069,279.239
32,2070,281.752
32,2071,284.13
32,2072,286.381
32,2073,288.509
32,2074,290.51
32,2075,292.372
32,2076,294.079
32,2077,295.632
32,2078,297.043
32,2079,298.326
32,2080,299.506
32,2081,300.61
32,2082,301.663
32,2083,302.687
32,2084,303.696
32,2085,304.694
32,2086,305.672
32,2087,306.615
32,2088,307.512
32,2089,308.366
32,2090,309.182
32,2091,309.97
32,2092,310.737
32,2093,311.491
32,2094,312.239
32,2095,312.984
32,2096,313.729
32,2097,314.474
32,2098,315.22
32,2099,315.967
36,1950,35.004
36,1951,35.099
36,1952,35.314
36,1953,35.58
36,1954,35.896
36,1955,36.264
36,1956,36.686
36,1957,37.165
36,1958,37.708
36,1959,38.325
36,1960,39.029
36,1961,39.827
36,1962,40.721
36,1963,41.702
36,1964,42.744
36,1965,43.818
36,1966,44.894
36,1967,45.932
36,1968,46.893
36,1969,47.743
36,1970,48.439
36,1971,48.949
36,1972,49.279
36,1973,49.451
36,1974,49.488
36,1975,49.417
36,1976,49.27
36,1977,49.099
36,1978,48.959
36,1979,48.9
36,1980,48.986
36,1981,49.274
36,1982,49.767
36,1983,50.447
36,1984,51.291
36,1985,52.241
36,1986,53.222
36,1987,54.161
36,1988,55.008
36,1989,55.743
36,1990,56.382
36,1991,56.969
36,1992,57.565
36,1993,58.214
36,1994,58.921
36,1995,59.668
36,1996,60.419
36,1997,61.134
36,1998,61.788
36,1999,62.382
36,2000,62.925
36,2001,63.438
36,2002,63.958
36,2003,64.523
36,2004,65.155
36,2005,65.885
36,2006,66.735
36,2007,67.703
36,2008,68.775
36,2009,69.936
36,2010,71.162
36,2011,72.422
36,2012,73.681
36,2013,74.911
36,2014,76.098
36,2015,77.226
36,2016,78.291
36,2017,79.313
36,2018,80.317
36,2019,81.319
36,2020,82.338
36,2021,83.39
36,2022,84.493
36,2023,85.666
36,2024,86.926
36,2025,88.294
36,2026,89.781
36,2027,91.386
36,2028,93.103
36,2029,94.927
36,2030,96.852
36,2031,98.87
36,2032,100.965
36,2033,103.12
36,2034,105.321
36,2035,107.568
36,2036,109.868
36,2037,112.218
36,2038,114.605
36,2039,117.005
36,2040,119.385
36,2041,121.713
36,2042,123.964
36,2043,126.118
36,2044,128.159
36,2045,130.085
36,2046,131.906
36,2047,133.643
36,2048,135.311
36,2049,136.912
36,2050,138.438
36,2051,139.876
36,2052,141.218
36,2053,142.462
36,2054,143.616
36,2055,144.689
36,2056,145.695
36,2057,146.654
36,2058,147.581
36,2059,148.492
36,2060,149.388
36,2061,150.267
36,2062,151.125
36,2063,151.966
36,2064,152.807
36,2065,153.674
36,2066,154.597
36,2067,155.592
36,2068,156.664
36,2069,157.807
36,2070,159.002
36,2071,160.213
36,2072,161.41
36,2073,162.57
36,2074,163.69
36,2075,164.795
36,2076,165.925
36,2077,167.11
36,2078,168.357
36,2079,169.645
36,2080,170.932
36,2081,172.161
36,2082,173.276
36,2083,174.236
36,2084,175.025
36,2085,175.635
36,2086,176.078
36,2087,176.399
36,2088,176.646
36,2089,176.853
36,2090,177.049
36,2091,177.26
36,2092,177.504
36,2093,177.795
36,2094,178.142
36,2095,178.55
36,2096,179.025
36,2097,179.566
36,2098,180.174
36,2099,180.849
40,1950,42.159
40,1951,42.241
40,1952,42.4
40,1953,42.546
40,1954,42.677
40,1955,42.798
40,1956,42.912
40,1957,43.026
40,1958,43.154
40,1959,43.319
40,1960,43.547
40,1961,43.861
40,1962,44.281
40,1963,44.808
40,1964,45.425
40,1965,46.096
40,1966,46.77
40,1967,47.397
40,1968,47.935
40,1969,48.362
40,1970,48.668
40,1971,48.862
40,1972,48.976
40,1973,49.04
40,1974,49.064
40,1975,49.062
40,1976,49.043
40,1977,49.005
40,1978,48.945
40,1979,48.863
40,1980,48.748
40,1981,48.583
40,1982,48.361
40,1983,48.079
40,1984,47.744
40,1985,47.367
40,1986,46.967
40,1987,46.563
40,1988,46.172
40,1989,45.803
40,1990,45.46
40,1991,45.144
40,1992,44.844
40,1993,44.548
40,1994,44.254
40,1995,43.952
40,1996,43.632
40,1997,43.294
40,1998,42.941
40,1999,42.577
40,2000,42.212
40,2001,41.857
40,2002,41.525
40,2003,41.229
40,2004,40.981
40,2005,40.793
40,2006,40.675
40,2007,40.625
40,2008,40.634
40,2009,40.697
40,2010,40.8
40,2011,40.932
40,2012,41.076
40,2013,41.219
40,2014,41.351
40,2015,41.463
40,2016,41.548
40,2017,41.614
40,2018,41.67
40,2019,41.723
40,2020,41.784
40,2021,41.865
40,2022,41.978
40,2023,42.13
40,2024,42.328
40,2025,42.573
40,2026,42.866
40,2027,43.198
40,2028,43.559
40,2029,43.943
40,2030,44.343
40,2031,44.751
40,2032,45.164
40,2033,45.578
40,2034,45.988
40,2035,46.389
40,2036,46.776
40,2037,47.155
40,2038,47.529
40,2039,47.905
40,2040,48.292
40,2041,48.7
40,2042,49.137
40,2043,49.607
40,2044,50.112
40,2045,50.657
40,2046,51.241
40,2047,51.856
40,2048,52.489
40,2049,53.126
40,2050,53.755
40,2051,54.367
40,2052,54.949
40,2053,55.488
40,2054,55.968
40,2055,56.374
40,2056,56.696
40,2057,56.932
40,2058,57.082
40,2059,57.144
40,2060,57.117
40,2061,56.999
40,2062,56.802
40,2063,56.536
40,2064,56.215
40,2065,55.847
40,2066,55.44
40,2067,55.002
40,2068,54.546
40,2069,54.087
40,2070,53.642
40,2071,53.223
40,2072,52.834
40,2073,52.48
40,2074,52.165
